"Resource name",Url,Platform,"ELIXIR Node","Scientific domain","ELIXIR badge",Description,"Principal investigator","bio.tools link","FAIRsharing link"
"HotSpot Wizard",http://loschmidt.chemi.muni.cz/hotspotwizard/,,"ELIXIR Czech Republic","Molecular and cellular structures, Proteins and proteomes",,"Web server for identification of hot spots in protein engineering.","Jiří Damborský/David Bednář",https://bio.tools/hotspot_wizard,
"HPC PlatformsCompute Services",https://elixir-italy.org/services/,,"ELIXIR Italy",,,"Tier-0 HPC system Marconi and Tier-1 Galileo100 INFN HPC clusters ENEA CRESCO ""HPC service”","Giacinto Donvito",,
HPC@Cineca,http://www.beaconlab.it/HPC-cineca,,"ELIXIR Italy",,,"Fast-track HPC access for medium sized biological data analysis projects (50K core hours).","Federico Zambelli",,
HTP,https://htp.unitmp.org,,"ELIXIR Hungary","Molecular and cellular structures, Proteins and proteomes",,"Human transmembrane proteome database",,https://bio.tools/htp,
"Human Omics Analysis Toolbox",https://www.denbi.de/services/1683-human-omics-analysis-toolbox,,"ELIXIR Germany","Genes and genomes",,"A collection of web resources for working with proteins, drug reactions, gene expression analysis, proteome profiling and assessing MinION Data, including: 


	DeSeq2 - an R/Bioconductor package for differential expression analysis of high-throughput sequencing assays
	DexSeq - an extension of DESeq for the analysis of alternative exon usage.
	EBImage - R/Bioconductor package that provides general purpose functionality for the reading, writing, processing and analysis of images.
	SMART - a web resource providing simple identification and extensive annotation of protein domains via sequence homology searches.
	SIDER - a web-based resource that contains information on marketed medicines and their recorded adverse drug reactions.","Wolfgang Huber, Peer Bork",,
"Human Protein Atlas (HPA)",http://www.proteinatlas.org/,,"ELIXIR Sweden","Molecular and cellular structures, Proteins and proteomes","Core Data Resources","Database with millions of high-resolution images.","Mathias Uhlén",https://bio.tools/proteinatlas,http://doi.org/10.25504/fairsharing.j0t0pe
"Hungarian Cancer Registry",https://onkol.hu/nemzeti-rakregiszter-es-biostatisztikai-kozpont/,,"ELIXIR Hungary","Genes and genomes",,"A population-based database that collects all the cases with malignancies in Hungary by reports of oncology care hospitals. Registration is mandatory. The Registry is regulated by the order of the Hungarian Government and maintained by the  National Institute of Oncology.","Prof. Dr. Csaba Polgár",,
HyPPI,https://proteins.plus/2ozr#ppi,,"ELIXIR Germany","Proteins and proteomes",,"HyPPI classifies a protein-protein complex concerning its interaction type into a permanent, transient or crystal artifact. ",,https://bio.tools/ppi,
"I-Mutant 2.0",http://folding.biofold.org/i-mutant/i-mutant2.0.html,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"Predicts protein stability changes upon single point mutation from protein structure or protein sequence.","Emidio Capriotti",https://bio.tools/i-mutant2.0,
Identifiers.org,http://identifiers.org,,EMBL-EBI,,"Recommended Interoperability Resources","Identifiers.org is a system providing resolvable persistent URIs used to identify data for the scientific community, with a current focus on the Life Sciences domain.",,https://bio.tools/identifiers.org,http://doi.org/10.25504/fairsharing.n14rc8
"IDP ontology",https://disprot.org/about,,"ELIXIR Italy",,,"An ontology for IDP community: it enables the annotation of structural and functional properties of intrinsically disordered proteins and their interaction partners.",,https://bio.tools/idpo,
IDSM,https://idsm.elixir-czech.cz/,,"ELIXIR Czech Republic","Chemical biology",,"Integrated Database of Small Molecules.
	Aggregating many different sources of information about small molecules into a single, logically coherent and semantically interconnected information source.","Jiri Vondrášek",https://bio.tools/IDSM,
IHW,http://bioconductor.org/packages/IHW/,,"ELIXIR Germany",,,"Independent hypothesis weighting (IHW) is a multiple testing procedure that increases power compared to commonly used alternatives for false discovery rate (FDR) control by assigning data-driven weights to each hypothesis. The IHW software package provide a mechanism that allows the methodology to be applied to many different data types.","Wolfgang Huber",https://bio.tools/ihw,
IMGT,https://www.imgt.org,,"ELIXIR France","Genes and genomes, Proteins and proteomes",,"An integrated knowledge resource specialized in the immunoglobulins (IG) or antibodies, T cell receptors (TR), and major histocompatibility (MH) of human and other vertebrate species. ","Sofia Kossida, Marie-Paule Lefranc",https://bio.tools/imgt,http://doi.org/10.25504/fairsharing.8d3ka8
"INB Integrated platform for macromolecular flexibility (FlexPortal)",https://mmb.irbbarcelona.org/FlexPortal,,"ELIXIR Spain","Molecular and cellular structures",,"Web tool to study the flexibility of nucleic acids, either isolated or bound to other molecules. The server offers a variety of methods to explore nucleic acid flexibility, from coarse-grained low resolution mesoscopic models to atomistic molecular dynamics simulations.",,https://bio.tools/flexportal,
INGA,https://inga.bio.unipd.it/,,"ELIXIR Italy","Proteins and proteomes",,"Interaction Network GO Annotator is a web server for the prediction of protein function.","Damiano Piovesan",https://bio.tools/inga,
INPS-MD,https://inpsmd.biocomp.unibo.it/,,"ELIXIR Italy","Proteins and proteomes",,"Prediction of protein stability change upon single-point variations from protein sequence and structure","Castrense Savojardo",https://bio.tools/inps-md,
IntAct,http://www.ebi.ac.uk/intact/,,EMBL-EBI,"Enzymes, interactions and pathways, Proteins and proteomes","Core Data Resources, ELIXIR Deposition Databases","IntAct provides a freely available, open source database system and analysis tools for molecular interaction data.","Henning Hermjakob",https://bio.tools/intact,http://doi.org/10.25504/fairsharing.d05nwx
"Interactive Onco Genomics (IntOGen)",https://www.intogen.org,,"ELIXIR Spain","Molecular and cellular structures",,"IntOGen collects and analyses somatic mutations in thousands of tumor genomes to identify cancer driver genes.",,https://bio.tools/intogen,
Interactome3D,https://interactome3d.irbbarcelona.org,,"ELIXIR Spain","Proteins and proteomes",,"A web service for the structural annotation of protein-protein interaction networks. ",,,
InterMine,http://intermine.org,,"ELIXIR UK",,"Recommended Interoperability Resources","A database framework widely used to support model organism databases. ","Gos Micklem",https://bio.tools/intermine,https://fairsharing.org/collection/InterMine
InterPro,https://www.ebi.ac.uk/interpro/,,EMBL-EBI,"Molecular and cellular structures, Proteins and proteomes","Core Data Resources","InterPro classifies proteins into families and predicts the presence of important domains and sites.","Rob Finn",https://bio.tools/interpro,http://doi.org/10.25504/fairsharing.pda11d
iPATH,https://pathways.embl.de/,,"ELIXIR Germany","Molecular and cellular structures, Proteins and proteomes",,"iPath is a web-based tool for the visualization and analysis of cellular pathways. Based on current annotations (such as KEGG), it provides pathway maps for primary cellular metabolism as well as for some additional secondary metabolite synthesis and regulatory pathways. Users can map their own data onto these pathway maps. Due to its navigation and customization functions, iPATH thus allows users to easily explore and analyze the functional and metabolic capabilities of their (meta-)genomic data sets. Part of the Microbiome Analysis Toolbox. ","Peer Bork",https://bio.tools/ipath,
iPtgxDBs,https://iptgxdb.expasy.org/,,"ELIXIR Switzerland","Proteins and proteomes",,"Integrated Proteogenomics DataBases an open source database that provides integrated annotations, predictions and a six-frame translation for one respective genome sequence in an easily usable format, both as a search DB (FASTA format) with informative identifiers and a GFF file that integrates all annotations and identifiers.",,,
IreSite,http://iresite.org/,,"ELIXIR Czech Republic","Genes and genomes, Molecular and cellular structures",,"Non-coding genome sequences and genetic network tools. The IRESite presents experimental evidence of many eukaryotic viral and cellular internal ribosome entry site (IRES) regions.","Martin Pospíšek",https://bio.tools/iresite,http://doi.org/10.25504/fairsharing.kd39j4
"ISA Tools Commons",http://isa-tools.org,,"ELIXIR UK",,"Recommended Interoperability Resources","A suite of open source tools and formats to enable standards-compliant collection, curation, management, publication and reuse of experiments. ","Susanna-Assunta Sansone",https://bio.tools/isa_tools,
ISMARA,https://ismara.unibas.ch,,"ELIXIR Switzerland","Genes and genomes",,"Models genome-wide expression data in terms of genome-wide annotations of regulatory sites. For a given expression data-set it infers the key transcription regulators, their sample- dependent activities, and their genome-wide targets. ","Erik van Nimwegen",https://bio.tools/ismara,
IsoMut,http://www.genomics.hu/tools/isomut/isomut.html,,"ELIXIR Hungary",,,"A means for determining the pattern occurring in groups of isogenic individual mutations (SNP, deletion, insertion)","Dávid Szüts",,
"Italian COVID-19 Data Portal",https://www.covid19dataportal.it/,,"ELIXIR Italy",,,"The Italian COVID-19 Data Portal provides information, guidelines, tools and services to support researchers in creating and sharing research data on COVID-19.","Federico Zambelli",,
iTOL,https://itol.embl.de/,,"ELIXIR Germany","Genes and genomes",,"Interactive Tree Of Life (iTOL) is an online tool for the display and manipulation of phylogenetic trees. It provides a large variety of tree layouts, drawing and annotation features including circular tree layout, which is well-suited particularly for mid-sized trees (up to several thousand leaves). Tree displays can be exported in several graphical formats, both bitmap and vector based. Part of the Microbiome Analysis Toolbox. ","Peer Bork",https://bio.tools/itol,
ITSoneDB,http://itsonedb.cloud.ba.infn.it,,"ELIXIR Italy","Genes and genomes",,"ITSoneDB is a comprehensive collection of eukaryotic ribosomal RNA Internal Transcribed Spacer 1 (ITS1) sequences.","Graziano Pesole",https://bio.tools/itsonedb,
ITSoneWB,http://itsonewb.cloud.ba.infn.it/galaxy,,"ELIXIR Italy",,,"A Galaxy-based workbench providing established tools (e.g BioMaS, Mothur and qiime2) targeted at global taxonomic analysis of eukaryotic communities based on Internal Transcribed Spacer 1 variants high-throughput sequencing.","Bruno Fosso",https://bio.tools/itsonewb,
"IUPHAR/BPS Guide to PHARMACOLOGY",http://www.guidetopharmacology.org,,"ELIXIR UK","Chemical biology",,"A curated database of drug targets, prescription medicines and experimental drugs.","Jamie Davies",https://bio.tools/iuphar-db,https://doi.org/10.25504/FAIRsharing.f1dv0
IUPred,https://iupred2a.elte.hu/,,"ELIXIR Hungary",,,"Tool for determining disordered protein regions","Zsuzsanna Dosztányi",,
Jalview,http://www.jalview.org/,,"ELIXIR UK","Genes and genomes","Recommended Interoperability Resources","Jalview is a Win/Mac/Linux/Web interactive graphical interface and command line tool for molecular sequence, alignment and 3D structure bioinformatics resource interoperability.","Geoff Barton",https://bio.tools/Jalview,
